context_word1,context_word2,target_word
was,exchanged,where
exchanged,where,was
where,was,he
was,he,not
he,not,killed
not,killed,not
killed,not,killed
not,killed,cried
killed,cried,ahab
cried,ahab,closely
ahab,closely,advancing
closely,advancing,how
advancing,how,was
how,was,it
was,it,it
it,it,seemed
it,seemed,that
seemed,that,somewhat
that,somewhat,late
somewhat,late,on
late,on,the
on,the,afternoon
the,afternoon,of
afternoon,of,the
of,the,day
the,day,previous
day,previous,while
previous,while,three
while,three,of
three,of,the
of,the,stranger
the,stranger,s
stranger,s,boats
s,boats,were
boats,were,engaged
were,engaged,with
engaged,with,a
with,a,shoal
a,shoal,of
shoal,of,whales
of,whales,which
whales,which,had
which,had,led
had,led,them
led,them,some
them,some,four
some,four,or
four,or,five
or,five,miles
five,miles,from
miles,from,the
from,the,ship
the,ship,and
ship,and,while
and,while,they
while,they,were
they,were,yet
were,yet,in
yet,in,swift
in,swift,chase
swift,chase,to
chase,to,windward
to,windward,the
windward,the,white
the,white,hump
white,hump,and
hump,and,head
and,head,of
head,of,moby
of,moby,dick
moby,dick,had
dick,had,suddenly
had,suddenly,loomed
suddenly,loomed,up
loomed,up,out
up,out,of
out,of,the
of,the,water
the,water,not
water,not,very
not,very,far
very,far,to
far,to,leeward
to,leeward,whereupon
leeward,whereupon,the
whereupon,the,fourth
the,fourth,rigged
fourth,rigged,boat
rigged,boat,a
boat,a,reserved
a,reserved,one
reserved,one,had
one,had,been
had,been,instantly
been,instantly,lowered
instantly,lowered,in
lowered,in,chase
in,chase,after
chase,after,a
after,a,keen
a,keen,sail
keen,sail,before
sail,before,the
before,the,wind
the,wind,this
wind,this,fourth
this,fourth,boat
fourth,boat,the
boat,the,swiftest
the,swiftest,keeled
swiftest,keeled,of
keeled,of,all
of,all,seemed
all,seemed,to
seemed,to,have
to,have,succeeded
have,succeeded,in
succeeded,in,fastening
in,fastening,at
fastening,at,least
at,least,as
least,as,well
as,well,as
well,as,the
as,the,man
the,man,at
man,at,the
at,the,mast
the,mast,head
mast,head,could
head,could,tell
could,tell,anything
tell,anything,about
anything,about,it
about,it,in
it,in,the
in,the,distance
the,distance,he
distance,he,saw
he,saw,the
saw,the,diminished
the,diminished,dotted
diminished,dotted,boat
dotted,boat,and
boat,and,then
and,then,a
then,a,swift
a,swift,gleam
swift,gleam,of
gleam,of,bubbling
of,bubbling,white
bubbling,white,water
white,water,and
water,and,after
and,after,that
after,that,nothing
that,nothing,more
nothing,more,whence
more,whence,it
whence,it,was
it,was,concluded
was,concluded,that
concluded,that,the
that,the,stricken
the,stricken,whale
stricken,whale,must
whale,must,have
must,have,indefinitely
have,indefinitely,run
indefinitely,run,away
run,away,with
away,with,his
with,his,pursuers
his,pursuers,as
pursuers,as,often
as,often,happens
often,happens,there
happens,there,was
there,was,some
was,some,apprehension
some,apprehension,but
apprehension,but,no
but,no,positive
no,positive,alarm
positive,alarm,as
alarm,as,yet
as,yet,the
yet,the,recall
the,recall,signals
recall,signals,were
signals,were,placed
were,placed,in
placed,in,the
in,the,rigging
the,rigging,darkness
rigging,darkness,came
darkness,came,on
came,on,and
on,and,forced
and,forced,to
forced,to,pick
to,pick,up
pick,up,her
up,her,three
her,three,far
three,far,to
far,to,windward
to,windward,boats
windward,boats,ere
boats,ere,going
ere,going,in
going,in,quest
in,quest,of
quest,of,the
of,the,fourth
the,fourth,one
fourth,one,in
one,in,the
in,the,precisely
the,precisely,opposite
precisely,opposite,direction
opposite,direction,the
direction,the,ship
the,ship,had
ship,had,not
had,not,only
not,only,been
only,been,necessitated
been,necessitated,to
necessitated,to,leave
to,leave,that
leave,that,boat
that,boat,to
boat,to,its
to,its,fate
its,fate,till
fate,till,near
till,near,midnight
near,midnight,but
midnight,but,for
but,for,the
for,the,time
the,time,to
time,to,increase
to,increase,her
increase,her,distance
her,distance,from
distance,from,it
from,it,but
it,but,the
but,the,rest
the,rest,of
rest,of,her
of,her,crew
her,crew,being
crew,being,at
being,at,last
at,last,safe
last,safe,aboard
safe,aboard,she
aboard,she,crowded
she,crowded,all
crowded,all,sail
all,sail,stunsail
sail,stunsail,on
stunsail,on,stunsail
on,stunsail,after
stunsail,after,the
after,the,missing
the,missing,boat
missing,boat,kindling
boat,kindling,a
kindling,a,fire
a,fire,in
fire,in,her
in,her,try
her,try,pots
try,pots,for
pots,for,a
for,a,beacon
a,beacon,and
beacon,and,every
and,every,other
every,other,man
other,man,aloft
man,aloft,on
aloft,on,the
on,the,look
the,look,out
look,out,but
out,but,though
but,though,when
though,when,she
when,she,had
she,had,thus
had,thus,sailed
thus,sailed,a
sailed,a,sufficient
a,sufficient,distance
sufficient,distance,to
distance,to,gain
to,gain,the
gain,the,presumed
the,presumed,place
presumed,place,of
place,of,the
of,the,absent
the,absent,ones
absent,ones,when
ones,when,last
when,last,seen
last,seen,though
seen,though,she
though,she,then
she,then,paused
then,paused,to
paused,to,lower
to,lower,her
lower,her,spare
her,spare,boats
spare,boats,to
boats,to,pull
to,pull,all
pull,all,around
all,around,her
around,her,and
her,and,not
and,not,finding
not,finding,anything
finding,anything,had
anything,had,again
had,again,dashed
again,dashed,on
dashed,on,again
on,again,paused
again,paused,and
paused,and,lowered
and,lowered,her
lowered,her,boats
her,boats,and
boats,and,though
and,though,she
though,she,had
she,had,thus
had,thus,continued
thus,continued,doing
continued,doing,till
doing,till,daylight
till,daylight,yet
daylight,yet,not
yet,not,the
not,the,least
the,least,glimpse
least,glimpse,of
glimpse,of,the
of,the,missing
the,missing,keel
missing,keel,had
keel,had,been
had,been,seen
been,seen,the
seen,the,story
the,story,told
story,told,the
told,the,stranger
the,stranger,captain
stranger,captain,immediately
captain,immediately,went
immediately,went,on
went,on,to
on,to,reveal
to,reveal,his
reveal,his,object
his,object,in
object,in,boarding
in,boarding,the
boarding,the,pequod
the,pequod,he
pequod,he,desired
he,desired,that
desired,that,ship
that,ship,to
ship,to,unite
to,unite,with
unite,with,his
with,his,own
his,own,in
own,in,the
in,the,search
the,search,by
search,by,sailing
by,sailing,over
sailing,over,the
over,the,sea
the,sea,some
sea,some,four
some,four,or
four,or,five
or,five,miles
five,miles,apart
miles,apart,on
apart,on,parallel
on,parallel,lines
parallel,lines,and
lines,and,so
and,so,sweeping
so,sweeping,a
sweeping,a,double
a,double,horizon
double,horizon,as
horizon,as,it
as,it,were
it,were,i
were,i,will
i,will,wager
will,wager,something
wager,something,now
something,now,whispered
now,whispered,stubb
whispered,stubb,to
stubb,to,flask
to,flask,that
flask,that,some
that,some,one
some,one,in
one,in,that
in,that,missing
that,missing,boat
missing,boat,wore
boat,wore,off
wore,off,that
off,that,captain
that,captain,s
captain,s,best
s,best,coat
best,coat,mayhap
coat,mayhap,his
mayhap,his,watch
his,watch,he
watch,he,s
he,s,so
s,so,cursed
so,cursed,anxious
cursed,anxious,to
anxious,to,get
to,get,it
get,it,back
it,back,who
back,who,ever
who,ever,heard
ever,heard,of
heard,of,two
of,two,pious
two,pious,whale
pious,whale,ships
whale,ships,cruising
ships,cruising,after
cruising,after,one
after,one,missing
one,missing,whale
missing,whale,boat
whale,boat,in
boat,in,the
in,the,height
the,height,of
height,of,the
of,the,whaling
the,whaling,season
whaling,season,see
season,see,flask
see,flask,only
flask,only,see
only,see,how
see,how,pale
how,pale,he
pale,he,looks
he,looks,pale
looks,pale,in
pale,in,the
in,the,very
the,very,buttons
very,buttons,of
buttons,of,his
of,his,eyes
his,eyes,look
eyes,look,it
look,it,wasn
it,wasn,t
wasn,t,the
t,the,coat
the,coat,it
coat,it,must
it,must,have
must,have,been
have,been,the
been,the,my
the,my,boy
my,boy,my
boy,my,own
my,own,boy
own,boy,is
boy,is,among
is,among,them
among,them,for
them,for,god
for,god,s
god,s,sake
s,sake,i
sake,i,beg
i,beg,i
beg,i,conjure
i,conjure,here
conjure,here,exclaimed
here,exclaimed,the
exclaimed,the,stranger
the,stranger,captain
stranger,captain,to
captain,to,ahab
to,ahab,who
ahab,who,thus
who,thus,far
thus,far,had
far,had,but
had,but,icily
but,icily,received
icily,received,his
received,his,petition
his,petition,for
petition,for,eight
for,eight,and
eight,and,forty
and,forty,hours
forty,hours,let
hours,let,me
let,me,charter
me,charter,your
charter,your,ship
your,ship,i
ship,i,will
i,will,gladly
will,gladly,pay
gladly,pay,for
pay,for,it
for,it,and
it,and,roundly
and,roundly,pay
roundly,pay,for
pay,for,it
for,it,if
it,if,there
if,there,be
there,be,no
be,no,other
no,other,way
other,way,for
way,for,eight
for,eight,and
eight,and,forty
and,forty,hours
forty,hours,only
hours,only,only
only,only,that
only,that,you
that,you,must
you,must,oh
must,oh,you
oh,you,must
you,must,and
must,and,you
and,you,shall
you,shall,do
shall,do,this
do,this,thing
this,thing,his
thing,his,son
his,son,cried
son,cried,stubb
cried,stubb,oh
stubb,oh,it
oh,it,s
it,s,his
s,his,son
his,son,he
son,he,s
he,s,lost
s,lost,i
lost,i,take
i,take,back
take,back,the
back,the,coat
the,coat,and
coat,and,watch
and,watch,what
watch,what,says
what,says,ahab
says,ahab,we
ahab,we,must
we,must,save
must,save,that
save,that,boy
that,boy,he
boy,he,s
he,s,drowned
s,drowned,with
drowned,with,the
with,the,rest
the,rest,on
rest,on,em
on,em,last
em,last,night
last,night,said
night,said,the
said,the,old
the,old,manx
old,manx,sailor
manx,sailor,standing
sailor,standing,behind
standing,behind,them
behind,them,i
them,i,heard
i,heard,all
heard,all,of
all,of,ye
of,ye,heard
ye,heard,their
heard,their,spirits
their,spirits,now
spirits,now,as
now,as,it
as,it,shortly
it,shortly,turned
shortly,turned,out
turned,out,what
out,what,made
what,made,this
made,this,incident
this,incident,of
incident,of,the
of,the,rachel
the,rachel,s
rachel,s,the
s,the,more
the,more,melancholy
more,melancholy,was
melancholy,was,the
was,the,circumstance
the,circumstance,that
circumstance,that,not
that,not,only
not,only,was
only,was,one
was,one,of
one,of,the
of,the,captain
the,captain,s
captain,s,sons
s,sons,among
sons,among,the
among,the,number
the,number,of
number,of,the
of,the,missing
the,missing,boat
missing,boat,s
boat,s,crew
s,crew,but
crew,but,among
but,among,the
among,the,number
the,number,of
number,of,the
of,the,other
the,other,boat
other,boat,s
boat,s,crews
s,crews,at
crews,at,the
at,the,same
the,same,time
same,time,but
time,but,on
but,on,the
on,the,other
the,other,hand
other,hand,separated
hand,separated,from
separated,from,the
from,the,ship
the,ship,during
ship,during,the
during,the,dark
the,dark,vicissitudes
dark,vicissitudes,of
vicissitudes,of,the
of,the,chase
the,chase,there
chase,there,had
there,had,been
had,been,still
been,still,another
still,another,son
another,son,as
son,as,that
as,that,for
that,for,a
for,a,time
a,time,the
time,the,wretched
the,wretched,father
wretched,father,was
father,was,plunged
was,plunged,to
plunged,to,the
to,the,bottom
the,bottom,of
bottom,of,the
of,the,cruellest
the,cruellest,perplexity
cruellest,perplexity,which
perplexity,which,was
which,was,only
was,only,solved
only,solved,for
solved,for,him
for,him,by
him,by,his
by,his,chief
his,chief,mate
chief,mate,s
mate,s,instinctively
s,instinctively,adopting
instinctively,adopting,the
adopting,the,ordinary
the,ordinary,procedure
ordinary,procedure,of
procedure,of,a
of,a,whale
a,whale,ship
whale,ship,in
ship,in,such
in,such,emergencies
such,emergencies,that
emergencies,that,is
that,is,when
is,when,placed
when,placed,between
placed,between,jeopardized
between,jeopardized,but
jeopardized,but,divided
but,divided,boats
divided,boats,always
boats,always,to
always,to,pick
to,pick,up
pick,up,the
up,the,majority
the,majority,first
majority,first,but
first,but,the
but,the,captain
the,captain,for
captain,for,some
for,some,unknown
some,unknown,constitutional
unknown,constitutional,reason
constitutional,reason,had
reason,had,refrained
had,refrained,from
refrained,from,mentioning
from,mentioning,all
mentioning,all,this
all,this,and
this,and,not
and,not,till
not,till,forced
till,forced,to
forced,to,it
to,it,by
it,by,ahab
by,ahab,s
ahab,s,iciness
s,iciness,did
iciness,did,he
did,he,allude
he,allude,to
allude,to,his
to,his,one
his,one,yet
one,yet,missing
yet,missing,boy
missing,boy,a
boy,a,little
a,little,lad
little,lad,but
lad,but,twelve
but,twelve,years
twelve,years,old
years,old,whose
old,whose,father
whose,father,with
father,with,the
with,the,earnest
the,earnest,but
earnest,but,unmisgiving
but,unmisgiving,hardihood
unmisgiving,hardihood,of
hardihood,of,a
of,a,nantucketer
a,nantucketer,s
nantucketer,s,paternal
s,paternal,love
paternal,love,had
love,had,thus
had,thus,early
thus,early,sought
early,sought,to
sought,to,initiate
to,initiate,him
initiate,him,in
him,in,the
in,the,perils
the,perils,and
perils,and,wonders
and,wonders,of
wonders,of,a
of,a,vocation
a,vocation,almost
vocation,almost,immemorially
almost,immemorially,the
immemorially,the,destiny
the,destiny,of
destiny,of,all
of,all,his
all,his,race
his,race,nor
race,nor,does
nor,does,it
does,it,unfrequently
it,unfrequently,occur
unfrequently,occur,that
occur,that,nantucket
that,nantucket,captains
nantucket,captains,will
captains,will,send
will,send,a
send,a,son
a,son,of
son,of,such
of,such,tender
such,tender,age
tender,age,away
age,away,from
away,from,them
from,them,for
them,for,a
for,a,protracted
a,protracted,three
protracted,three,or
three,or,four
or,four,years
four,years,voyage
years,voyage,in
voyage,in,some
in,some,other
some,other,ship
other,ship,than
ship,than,their
than,their,own
their,own,so
own,so,that
so,that,their
that,their,first
their,first,knowledge
first,knowledge,of
knowledge,of,a
of,a,whaleman
a,whaleman,s
whaleman,s,career
s,career,shall
career,shall,be
shall,be,unenervated
be,unenervated,by
unenervated,by,any
by,any,chance
any,chance,display
chance,display,of
display,of,a
of,a,father
a,father,s
father,s,natural
s,natural,but
natural,but,untimely
but,untimely,partiality
untimely,partiality,or
partiality,or,undue
or,undue,apprehensiveness
undue,apprehensiveness,and
apprehensiveness,and,concern
and,concern,meantime
concern,meantime,now
meantime,now,the
now,the,stranger
the,stranger,was
stranger,was,still
was,still,beseeching
still,beseeching,his
beseeching,his,poor
his,poor,boon
poor,boon,of
boon,of,ahab
of,ahab,and
ahab,and,ahab
and,ahab,still
ahab,still,stood
still,stood,like
stood,like,an
like,an,anvil
an,anvil,receiving
anvil,receiving,every
receiving,every,shock
every,shock,but
shock,but,without
but,without,the
without,the,least
the,least,quivering
least,quivering,of
quivering,of,his
of,his,own
his,own,i
own,i,will
i,will,not
will,not,go
not,go,said
go,said,the
said,the,stranger
the,stranger,till
stranger,till,you
till,you,say
you,say,aye
say,aye,to
aye,to,me
to,me,do
me,do,to
do,to,me
to,me,as
me,as,you
as,you,would
you,would,have
would,have,me
have,me,do
me,do,to
do,to,you
to,you,in
you,in,the
in,the,like
the,like,case
like,case,for
case,for,you
for,you,too
you,too,have
too,have,a
have,a,boy
a,boy,captain
boy,captain,ahab
captain,ahab,though
ahab,though,but
though,but,a
but,a,child
a,child,and
child,and,nestling
and,nestling,safely
nestling,safely,at
safely,at,home
at,home,now
home,now,a
now,a,child
a,child,of
child,of,your
of,your,old
your,old,age
old,age,too
age,too,yes
too,yes,yes
yes,yes,you
yes,you,relent
you,relent,i
relent,i,see
i,see,it
see,it,run
it,run,run
run,run,men
run,men,now
men,now,and
now,and,stand
and,stand,by
stand,by,to
by,to,square
to,square,in
square,in,the
in,the,yards
the,yards,avast
yards,avast,cried
avast,cried,ahab
cried,ahab,touch
ahab,touch,not
touch,not,a
not,a,rope
a,rope,yarn
rope,yarn,then
yarn,then,in
then,in,a
in,a,voice
a,voice,that
voice,that,prolongingly
that,prolongingly,moulded
prolongingly,moulded,every
moulded,every,word
every,word,captain
word,captain,gardiner
captain,gardiner,i
gardiner,i,will
i,will,not
will,not,do
not,do,it
do,it,even
it,even,now
even,now,i
now,i,lose
i,lose,time
lose,time,good
time,good,bye
good,bye,good
bye,good,bye
good,bye,god
bye,god,bless
god,bless,ye
bless,ye,man
ye,man,and
man,and,may
and,may,i
may,i,forgive
i,forgive,myself
forgive,myself,but
myself,but,i
but,i,must
i,must,go
must,go,mr
go,mr,starbuck
mr,starbuck,look
starbuck,look,at
look,at,the
at,the,binnacle
the,binnacle,watch
binnacle,watch,and
watch,and,in
and,in,three
in,three,minutes
three,minutes,from
minutes,from,this
from,this,present
this,present,instant
present,instant,warn
instant,warn,off
warn,off,all
off,all,strangers
all,strangers,then
strangers,then,brace
then,brace,forward
brace,forward,again
forward,again,and
again,and,let
and,let,the
let,the,ship
the,ship,sail
ship,sail,as
sail,as,before
as,before,hurriedly
before,hurriedly,turning
hurriedly,turning,with
turning,with,averted
with,averted,face
averted,face,he
face,he,descended
he,descended,into
descended,into,his
into,his,cabin
his,cabin,leaving
cabin,leaving,the
leaving,the,strange
the,strange,captain
strange,captain,transfixed
captain,transfixed,at
transfixed,at,this
at,this,unconditional
this,unconditional,and
unconditional,and,utter
and,utter,rejection
utter,rejection,of
rejection,of,his
of,his,so
his,so,earnest
so,earnest,suit
earnest,suit,but
suit,but,starting
but,starting,from
starting,from,his
from,his,enchantment
his,enchantment,gardiner
enchantment,gardiner,silently
gardiner,silently,hurried
silently,hurried,to
hurried,to,the
to,the,side
the,side,more
side,more,fell
more,fell,than
fell,than,stepped
than,stepped,into
stepped,into,his
into,his,boat
his,boat,and
boat,and,returned
and,returned,to
returned,to,his
to,his,ship
his,ship,soon
ship,soon,the
soon,the,two
the,two,ships
two,ships,diverged
ships,diverged,their
diverged,their,wakes
their,wakes,and
wakes,and,long
and,long,as
long,as,the
as,the,strange
the,strange,vessel
strange,vessel,was
vessel,was,in
was,in,view
in,view,she
view,she,was
she,was,seen
was,seen,to
seen,to,yaw
to,yaw,hither
yaw,hither,and
hither,and,thither
and,thither,at
thither,at,every
at,every,dark
every,dark,spot
dark,spot,however
spot,however,small
however,small,on
small,on,the
on,the,sea
the,sea,this
sea,this,way
this,way,and
way,and,that
and,that,her
that,her,yards
her,yards,were
yards,were,swung
were,swung,round
swung,round,starboard
round,starboard,and
starboard,and,larboard
and,larboard,she
larboard,she,continued
she,continued,to
continued,to,tack
to,tack,now
tack,now,she
now,she,beat
she,beat,against
beat,against,a
against,a,head
a,head,sea
head,sea,and
sea,and,again
and,again,it
again,it,pushed
it,pushed,her
pushed,her,before
her,before,it
before,it,while
it,while,all
while,all,the
all,the,while
the,while,her
while,her,masts
her,masts,and
masts,and,yards
and,yards,were
yards,were,thickly
were,thickly,clustered
thickly,clustered,with
clustered,with,men
with,men,as
men,as,three
as,three,tall
three,tall,cherry
tall,cherry,trees
cherry,trees,when
trees,when,the
when,the,boys
the,boys,are
boys,are,cherrying
are,cherrying,among
cherrying,among,the
among,the,boughs
the,boughs,but
boughs,but,by
but,by,her
by,her,still
her,still,halting
still,halting,course
halting,course,and
course,and,winding
and,winding,woeful
winding,woeful,way
woeful,way,you
way,you,plainly
you,plainly,saw
plainly,saw,that
saw,that,this
that,this,ship
this,ship,that
ship,that,so
that,so,wept
so,wept,with
wept,with,spray
with,spray,still
spray,still,remained
still,remained,without
remained,without,comfort
without,comfort,she
comfort,she,was
she,was,rachel
was,rachel,weeping
rachel,weeping,for
weeping,for,her
for,her,children
her,children,because
children,because,they
because,they,were
they,were,not
were,not,chapter
not,chapter,the
chapter,the,cabin
the,cabin,ahab
cabin,ahab,moving
ahab,moving,to
moving,to,go
to,go,on
go,on,deck
on,deck,pip
deck,pip,catches
pip,catches,him
catches,him,by
him,by,the
by,the,hand
the,hand,to
hand,to,follow
to,follow,lad
follow,lad,lad
lad,lad,i
lad,i,tell
i,tell,thee
tell,thee,thou
thee,thou,must
thou,must,not
must,not,follow
not,follow,ahab
follow,ahab,now
ahab,now,the
now,the,hour
the,hour,is
hour,is,coming
is,coming,when
coming,when,ahab
when,ahab,would
ahab,would,not
would,not,scare
not,scare,thee
scare,thee,from
thee,from,him
from,him,yet
him,yet,would
yet,would,not
would,not,have
not,have,thee
have,thee,by
thee,by,him
by,him,there
him,there,is
there,is,that
is,that,in
that,in,thee
in,thee,poor
thee,poor,lad
poor,lad,which
lad,which,i
which,i,feel
i,feel,too
feel,too,curing
too,curing,to
curing,to,my
to,my,malady
my,malady,like
malady,like,cures
like,cures,like
cures,like,and
like,and,for
and,for,this
for,this,hunt
this,hunt,my
hunt,my,malady
my,malady,becomes
malady,becomes,my
becomes,my,most
my,most,desired
most,desired,health
desired,health,do
health,do,thou
do,thou,abide
thou,abide,below
abide,below,here
below,here,where
here,where,they
where,they,shall
they,shall,serve
shall,serve,thee
serve,thee,as
thee,as,if
as,if,thou
if,thou,wert
thou,wert,the
wert,the,captain
the,captain,aye
captain,aye,lad
aye,lad,thou
lad,thou,shalt
thou,shalt,sit
shalt,sit,here
sit,here,in
here,in,my
in,my,own
my,own,screwed
own,screwed,chair
screwed,chair,another
chair,another,screw
another,screw,to
screw,to,it
to,it,thou
it,thou,must
thou,must,be
must,be,no
be,no,no
no,no,no
no,no,ye
no,ye,have
ye,have,not
have,not,a
not,a,whole
a,whole,body
whole,body,sir
body,sir,do
sir,do,ye
do,ye,but
ye,but,use
but,use,poor
use,poor,me
poor,me,for
me,for,your
for,your,one
your,one,lost
one,lost,leg
lost,leg,only
leg,only,tread
only,tread,upon
tread,upon,me
upon,me,sir
me,sir,i
sir,i,ask
i,ask,no
ask,no,more
no,more,so
more,so,i
so,i,remain
i,remain,a
remain,a,part
a,part,of
part,of,ye
of,ye,oh
ye,oh,spite
oh,spite,of
spite,of,million
of,million,villains
million,villains,this
villains,this,makes
this,makes,me
makes,me,a
me,a,bigot
a,bigot,in
bigot,in,the
in,the,fadeless
the,fadeless,fidelity
fadeless,fidelity,of
fidelity,of,man
of,man,and
man,and,a
and,a,black
a,black,and
black,and,crazy
and,crazy,but
crazy,but,methinks
but,methinks,like
methinks,like,cures
like,cures,like
cures,like,applies
like,applies,to
applies,to,him
to,him,too
him,too,he
too,he,grows
he,grows,so
grows,so,sane
so,sane,again
sane,again,they
again,they,tell
they,tell,me
tell,me,sir
me,sir,that
sir,that,stubb
that,stubb,did
stubb,did,once
did,once,desert
once,desert,poor
desert,poor,little
poor,little,pip
little,pip,whose
pip,whose,drowned
whose,drowned,bones
drowned,bones,now
bones,now,show
now,show,white
show,white,for
white,for,all
for,all,the
all,the,blackness
the,blackness,of
blackness,of,his
of,his,living
his,living,skin
living,skin,but
skin,but,i
but,i,will
i,will,never
will,never,desert
never,desert,ye
desert,ye,sir
ye,sir,as
sir,as,stubb
as,stubb,did
stubb,did,him
did,him,sir
him,sir,i
sir,i,must
i,must,go
must,go,with
go,with,ye
with,ye,if
ye,if,thou
if,thou,speakest
thou,speakest,thus
speakest,thus,to
thus,to,me
to,me,much
me,much,more
much,more,ahab
more,ahab,s
ahab,s,purpose
s,purpose,keels
purpose,keels,up
keels,up,in
up,in,him
in,him,i
him,i,tell
i,tell,thee
tell,thee,no
thee,no,it
no,it,cannot
it,cannot,be
cannot,be,oh
be,oh,good
oh,good,master
good,master,master
master,master,master
master,master,weep
master,weep,so
weep,so,and
so,and,i
and,i,will
i,will,murder
will,murder,thee
murder,thee,have
thee,have,a
have,a,care
a,care,for
care,for,ahab
for,ahab,too
ahab,too,is
too,is,mad
is,mad,listen
mad,listen,and
listen,and,thou
and,thou,wilt
thou,wilt,often
wilt,often,hear
often,hear,my
hear,my,ivory
my,ivory,foot
ivory,foot,upon
foot,upon,the
upon,the,deck
the,deck,and
deck,and,still
and,still,know
still,know,that
know,that,i
that,i,am
i,am,there
am,there,and
there,and,now
and,now,i
now,i,quit
i,quit,thee
quit,thee,thy
thee,thy,hand
thy,hand,met
hand,met,true
met,true,art
true,art,thou
art,thou,lad
thou,lad,as
lad,as,the
as,the,circumference
the,circumference,to
circumference,to,its
to,its,centre
its,centre,so
centre,so,god
so,god,for
god,for,ever
for,ever,bless
ever,bless,thee
bless,thee,and
thee,and,if
and,if,it
if,it,come
it,come,to
come,to,that
to,that,god
that,god,for
god,for,ever
for,ever,save
ever,save,thee
save,thee,let
thee,let,what
let,what,will
what,will,befall
will,befall,ahab
befall,ahab,goes
ahab,goes,pip
goes,pip,steps
pip,steps,one
steps,one,step
one,step,forward
step,forward,here
forward,here,he
here,he,this
he,this,instant
this,instant,stood
instant,stood,i
stood,i,stand
i,stand,in
stand,in,his
in,his,air
his,air,but
air,but,i
but,i,m
i,m,alone
m,alone,now
alone,now,were
now,were,even
were,even,poor
even,poor,pip
poor,pip,here
pip,here,i
here,i,could
i,could,endure
could,endure,it
endure,it,but
it,but,he
but,he,s
he,s,missing
s,missing,pip
missing,pip,pip
pip,pip,ding
pip,ding,dong
ding,dong,ding
dong,ding,who
ding,who,s
who,s,seen
s,seen,pip
seen,pip,he
pip,he,must
he,must,be
must,be,up
be,up,here
up,here,let
here,let,s
let,s,try
s,try,the
try,the,door
the,door,what
door,what,neither
what,neither,lock
neither,lock,nor
lock,nor,bolt
nor,bolt,nor
bolt,nor,bar
nor,bar,and
bar,and,yet
and,yet,there
yet,there,s
there,s,no
s,no,opening
no,opening,it
opening,it,it
it,it,must
it,must,be
must,be,the
be,the,spell
the,spell,he
spell,he,told
he,told,me
told,me,to
me,to,stay
to,stay,here
stay,here,aye
here,aye,and
aye,and,told
and,told,me
told,me,this
me,this,screwed
this,screwed,chair
screwed,chair,was
chair,was,mine
was,mine,here
mine,here,then
here,then,i
then,i,ll
i,ll,seat
ll,seat,me
seat,me,against
me,against,the
against,the,transom
the,transom,in
transom,in,the
in,the,ship
the,ship,s
ship,s,full
s,full,middle
full,middle,all
middle,all,her
all,her,keel
her,keel,and
keel,and,her
and,her,three
her,three,masts
three,masts,before
masts,before,me
before,me,here
me,here,our
here,our,old
our,old,sailors
old,sailors,say
sailors,say,in
say,in,their
in,their,black
their,black,seventy
black,seventy,fours
seventy,fours,great
fours,great,admirals
great,admirals,sometimes
admirals,sometimes,sit
sometimes,sit,at
sit,at,table
at,table,and
table,and,lord
and,lord,it
lord,it,over
it,over,rows
over,rows,of
rows,of,captains
of,captains,and
captains,and,lieutenants
and,lieutenants,ha
lieutenants,ha,what
ha,what,s
what,s,this
s,this,epaulets
this,epaulets,epaulets
epaulets,epaulets,the
epaulets,the,epaulets
the,epaulets,all
epaulets,all,come
all,come,crowding
come,crowding,pass
crowding,pass,round
pass,round,the
round,the,decanters
the,decanters,glad
decanters,glad,to
glad,to,see
to,see,ye
see,ye,fill
ye,fill,up
fill,up,monsieurs
up,monsieurs,what
monsieurs,what,an
what,an,odd
an,odd,feeling
odd,feeling,now
feeling,now,when
now,when,a
when,a,black
a,black,boy
black,boy,s
boy,s,host
s,host,to
host,to,white
to,white,men
white,men,with
men,with,gold
with,gold,lace
gold,lace,upon
lace,upon,their
upon,their,coats
their,coats,monsieurs
coats,monsieurs,have
monsieurs,have,ye
have,ye,seen
ye,seen,one
seen,one,pip
one,pip,a
pip,a,little
a,little,negro
little,negro,lad
negro,lad,five
lad,five,feet
five,feet,high
feet,high,hang
high,hang,dog
hang,dog,look
dog,look,and
look,and,cowardly
and,cowardly,jumped
cowardly,jumped,from
jumped,from,a
from,a,whale
a,whale,boat
whale,boat,once
boat,once,seen
once,seen,him
seen,him,no
him,no,well
no,well,then
well,then,fill
then,fill,up
fill,up,again
up,again,captains
again,captains,and
captains,and,let
and,let,s
let,s,drink
s,drink,shame
drink,shame,upon
shame,upon,all
upon,all,cowards
all,cowards,i
cowards,i,name
i,name,no
name,no,names
no,names,shame
names,shame,upon
shame,upon,them
upon,them,put
them,put,one
put,one,foot
one,foot,upon
foot,upon,the
upon,the,table
the,table,shame
table,shame,upon
shame,upon,all
upon,all,cowards
all,cowards,hist
cowards,hist,above
hist,above,there
above,there,i
there,i,hear
i,hear,ivory
hear,ivory,oh
ivory,oh,master
oh,master,master
master,master,i
master,i,am
i,am,indeed
am,indeed,down
indeed,down,hearted
down,hearted,when
hearted,when,you
when,you,walk
you,walk,over
walk,over,me
over,me,but
me,but,here
but,here,i
here,i,ll
i,ll,stay
ll,stay,though
stay,though,this
though,this,stern
